test_burst_transfer                * ONLY ONE * 2024年 11月 01日 星期五 18:01:10 CST : OK
test_single_transfer               * ONLY ONE * 2024年 11月 03日 星期日 22:41:11 CST : no compare
test_single_transfer               * ONLY ONE * 2024年 11月 03日 星期日 22:42:33 CST : no compare
test_single_transfer               * ONLY ONE * 2024年 11月 03日 星期日 23:04:00 CST : no compare
test_single_transfer               * ONLY ONE * 2024年 11月 03日 星期日 23:07:41 CST : no compare
test_single_transfer               * ONLY ONE * 2024年 11月 03日 星期日 23:16:15 CST : no compare
test_single_transfer               * ONLY ONE * 2024年 11月 03日 星期日 23:31:21 CST : no compare
test_single_transfer               * ONLY ONE * 2024年 11月 03日 星期日 23:38:28 CST : no compare
test_single_transfer               * ONLY ONE * 2024年 11月 03日 星期日 23:43:53 CST : no compare
test_single_transfer               * ONLY ONE * 2024年 11月 03日 星期日 23:45:45 CST : no compare
test_single_transfer               * ONLY ONE * 2024年 11月 03日 星期日 23:47:16 CST : no compare
test_single_transfer               * ONLY ONE * 2024年 11月 03日 星期日 23:51:27 CST : no compare
test_single_transfer               * ONLY ONE * 2024年 11月 04日 星期一 00:00:13 CST : no compare
test_single_transfer               * ONLY ONE * 2024年 11月 04日 星期一 00:09:04 CST : no compare
test_single_transfer               * ONLY ONE * 2024年 11月 04日 星期一 14:57:36 CST : no compare
test_single_transfer               * ONLY ONE * 2024年 11月 04日 星期一 15:06:00 CST : no compare
test_single_transfer               * ONLY ONE * 2024年 11月 04日 星期一 15:08:36 CST : no compare
test_single_transfer               * ONLY ONE * 2024年 11月 04日 星期一 15:14:00 CST : no compare
test_single_transfer               * ONLY ONE * 2024年 11月 04日 星期一 15:14:30 CST : no compare
test_single_transfer               * ONLY ONE * 2024年 11月 04日 星期一 15:15:38 CST : no compare
test_single_transfer               * ONLY ONE * 2024年 11月 04日 星期一 15:34:56 CST : no compare
test_single_transfer               * ONLY ONE * 2024年 11月 04日 星期一 15:39:25 CST : no compare
test_single_transfer               * ONLY ONE * 2024年 11月 04日 星期一 15:53:24 CST : no compare
test_single_transfer               * ONLY ONE * 2024年 11月 04日 星期一 16:05:33 CST : no compare
test_single_transfer               * ONLY ONE * 2024年 11月 04日 星期一 16:26:24 CST : no compare
test_single_transfer               * ONLY ONE * 2024年 11月 04日 星期一 17:02:24 CST : no compare
test_single_transfer               * ONLY ONE * 2024年 11月 04日 星期一 17:05:26 CST : no compare
test_single_transfer               * ONLY ONE * 2024年 11月 04日 星期一 17:06:39 CST : no compare
test_single_transfer               * ONLY ONE * 2024年 11月 04日 星期一 17:26:44 CST : no compare
